D_loss,epoch,gamma1_loss,gamma2_loss,gamma3_loss,gamma4_loss,mean_loss,step
2.137234687805176,0,0.0969257578253746,0.10740029066801071,0.09916450828313828,0.10508248209953308,0.5091615319252014,0
1.946103811264038,1,0.05767412111163139,0.06534694880247116,0.0591156892478466,0.06389680504798889,0.43842747807502747,1
1.7728785276412964,2,0.03250645846128464,0.03760448470711708,0.033450838178396225,0.03670267388224602,0.38262858986854553,2
1.6159251928329468,3,0.019664354622364044,0.02232578583061695,0.020326578989624977,0.021737204864621162,0.3399958312511444,3
1.4735993146896362,4,0.017626605927944183,0.01795351877808571,0.0181745532900095,0.017491333186626434,0.30896905064582825,4
1.3449640274047852,5,0.02489086426794529,0.022990062832832336,0.025481654331088066,0.02248096652328968,0.2881615161895752,5
1.229839563369751,6,0.03977208212018013,0.03578878566622734,0.040565818548202515,0.035059958696365356,0.27620524168014526,6
1.1287697553634644,7,0.060144249349832535,0.05429103970527649,0.061292700469493866,0.053180962800979614,0.2715357542037964,7
1.0429127216339111,8,0.08322958648204803,0.07580478489398956,0.08484223484992981,0.07419600337743759,0.27219706773757935,8
0.9736523628234863,9,0.10569380968809128,0.09707972407341003,0.10780071467161179,0.09493550658226013,0.2758324146270752,9
0.9218202233314514,10,0.12427463382482529,0.11490453034639359,0.1268094927072525,0.11228645592927933,0.280019074678421,10
0.8870363235473633,11,0.13666363060474396,0.12696512043476105,0.13948321342468262,0.1240154504776001,0.2828327417373657,11
0.8676819801330566,12,0.14200761914253235,0.13235074281692505,0.14493730664253235,0.12924830615520477,0.2832452058792114,12
0.8613282442092896,13,0.14078179001808167,0.13145163655281067,0.14366115629673004,0.1283663511276245,0.28111782670021057,13
0.8652128577232361,14,0.13429780304431915,0.12549066543579102,0.13700897991657257,0.12255396693944931,0.2769128680229187,14
0.8765717148780823,15,0.1241915225982666,0.11602436006069183,0.12666770815849304,0.11331859976053238,0.2713547945022583,15
0.8928287625312805,16,0.11205441504716873,0.10457898676395416,0.11427441239356995,0.10214103013277054,0.2651755213737488,16
0.9116900563240051,17,0.09922561794519424,0.0924430787563324,0.1012013778090477,0.09027504920959473,0.2589670419692993,17
0.931177020072937,18,0.08670777827501297,0.08058176934719086,0.08847054094076157,0.07866385579109192,0.25312018394470215,18
0.9496264457702637,19,0.07516413927078247,0.06963200867176056,0.07675246894359589,0.06793392449617386,0.24782180786132812,19
0.9656751751899719,20,0.06496324390172958,0.059945572167634964,0.06641439348459244,0.058435000479221344,0.24308668076992035,20
0.97823566198349,21,0.05624571442604065,0.05165407434105873,0.05759047716856003,0.05030199885368347,0.2388055920600891,21
0.9864675402641296,22,0.048994652926921844,0.044738318771123886,0.05025535821914673,0.04352119565010071,0.23479540646076202,22
0.9897481799125671,23,0.04309824854135513,0.039089661091566086,0.044288910925388336,0.037989500910043716,0.23084290325641632,23
0.9876428246498108,24,0.038399070501327515,0.03455853462219238,0.03952709957957268,0.03356132283806801,0.22673776745796204,24
0.9798800349235535,25,0.03472951427102089,0.03098912350833416,0.035798169672489166,0.030082395300269127,0.2222958505153656,25
0.966330885887146,26,0.031934503465890884,0.028241489082574844,0.03294573351740837,0.027411431074142456,0.2173728048801422,26
0.946992814540863,27,0.029883522540330887,0.026203125715255737,0.030840886756777763,0.025431565940380096,0.21187038719654083,27
0.9219794273376465,28,0.028474202379584312,0.02479180321097374,0.029385533183813095,0.02405344694852829,0.20573687553405762,28
0.8915145993232727,29,0.02762928046286106,0.023951655253767967,0.028508882969617844,0.023211874067783356,0.1989632546901703,29
0.8559338450431824,30,0.02728891558945179,0.023643990978598595,0.028158903121948242,0.022857625037431717,0.19157664477825165,30
0.8156911730766296,31,0.027399824932217598,0.02383442595601082,0.028290148824453354,0.022946074604988098,0.18363232910633087,31
0.7713716626167297,32,0.027903173118829727,0.024478217586874962,0.02884998358786106,0.023424498736858368,0.1752055138349533,32
0.723706841468811,33,0.028723055496811867,0.02550574392080307,0.029764998704195023,0.0242199394851923,0.16638411581516266,33
0.6735888123512268,34,0.029757708311080933,0.02681085653603077,0.03093005158007145,0.025230007246136665,0.15726348757743835,34
0.6220783591270447,35,0.03087557666003704,0.02824478968977928,0.03220251947641373,0.026318922638893127,0.14794403314590454,35
0.5704005360603333,36,0.031917620450258255,0.029618365690112114,0.03340383246541023,0.02732064202427864,0.13853219151496887,36
0.5199225544929504,37,0.032706327736377716,0.030714094638824463,0.034329526126384735,0.028049884364008904,0.12914447486400604,37
0.4721086919307709,38,0.03305967152118683,0.03130809962749481,0.03476705029606819,0.02831999398767948,0.11991269886493683,38
0.42844879627227783,39,0.032807063311338425,0.031199339777231216,0.034518662840127945,0.027964571490883827,0.11098769307136536,39
0.3903551399707794,40,0.031804412603378296,0.03024185076355934,0.03342583775520325,0.026859216392040253,0.10253728926181793,40
0.3590255379676819,41,0.02994890883564949,0.02837471477687359,0.031392935663461685,0.024940883740782738,0.09473659843206406,41
0.33527490496635437,42,0.02719961479306221,0.025644801557064056,0.028411678969860077,0.022226233035326004,0.08775144815444946,42
0.3193528652191162,43,0.023612478747963905,0.0222165510058403,0.024588502943515778,0.018832087516784668,0.0817204937338829,43
0.3107924163341522,44,0.019386328756809235,0.018360143527388573,0.020167630165815353,0.014993761666119099,0.07674005627632141,44
0.30835703015327454,45,0.014887518249452114,0.014407318085432053,0.015524329617619514,0.011060352437198162,0.07284730672836304,45
0.31014880537986755,46,0.010606156662106514,0.010682270862162113,0.011104445904493332,0.007443548180162907,0.06999704241752625,46
0.3139142692089081,47,0.007035380229353905,0.007455744314938784,0.007330324966460466,0.00453076371923089,0.06805329769849777,47
0.31752434372901917,48,0.004532244987785816,0.004963060840964317,0.0045288545079529285,0.0026083567645400763,0.06683137267827988,48
0.31948620080947876,49,0.0032260138541460037,0.0034233438782393932,0.0028876946307718754,0.0018107159994542599,0.06616679579019547,49
0.3192538619041443,50,0.0029913000762462616,0.002957203658297658,0.00239762756973505,0.002072487957775593,0.06593449413776398,50
0.3171803057193756,51,0.003497520461678505,0.003455155063420534,0.0028156412299722433,0.0031131706200540066,0.06601236015558243,51
0.3141430616378784,52,0.004338686354458332,0.004561005625873804,0.003735350212082267,0.004515588749200106,0.0662587359547615,52
0.31103891134262085,53,0.005167673341929913,0.005805782042443752,0.00473674014210701,0.0058634113520383835,0.0665225014090538,53
0.30839046835899353,54,0.005743272602558136,0.006772782653570175,0.0054968539625406265,0.0068366569466888905,0.06664800643920898,54
0.30621522665023804,55,0.005911532323807478,0.007202294189482927,0.005823566112667322,0.007242100778967142,0.06647894531488419,55
0.30415791273117065,56,0.005605957470834255,0.007029705680906773,0.0056601399555802345,0.007025762461125851,0.06589589267969131,56
0.3017515540122986,57,0.004873625002801418,0.006359311286360025,0.005075826775282621,0.006273794919252396,0.06486682593822479,57
0.29863861203193665,58,0.003868997795507312,0.0053830877877771854,0.004222957417368889,0.005173112731426954,0.06345735490322113,58
0.29466286301612854,59,0.0028008841909468174,0.004296063911169767,0.003277329495176673,0.003944507334381342,0.06179632991552353,59
0.28985434770584106,60,0.0018687571864575148,0.003256788942962885,0.0023983223363757133,0.0027885420713573694,0.06003335118293762,60
0.28437086939811707,61,0.0012136411387473345,0.0023844887036830187,0.001710090204142034,0.0018551746616140008,0.05830685421824455,61
0.27844324707984924,62,0.0008885100251063704,0.0017566882306709886,0.0012845740420743823,0.0012247441336512566,0.05671955272555351,62
0.2723405063152313,63,0.0008572384249418974,0.001398530905134976,0.001128518022596836,0.0009013375965878367,0.0553252249956131,63
0.2663481831550598,64,0.0010277032852172852,0.0012810872867703438,0.0011911115143448114,0.0008290768601000309,0.05413543060421944,64
0.26074492931365967,65,0.0012995153665542603,0.0013360034208744764,0.0013905074447393417,0.0009243952226825058,0.05313907191157341,65
0.2557663321495056,66,0.0015955828130245209,0.0014771268470212817,0.001640686416067183,0.0011038146913051605,0.052316710352897644,66
0.251560777425766,67,0.0018678100313991308,0.0016218493692576885,0.0018690795404836535,0.0012984363129362464,0.05164359137415886,67
0.2481539100408554,68,0.002090487629175186,0.0017112261848524213,0.002028434304520488,0.0014613320818170905,0.051089078187942505,68
0.2454400211572647,69,0.002253985498100519,0.00172344536986202,0.002103648614138365,0.001571637112647295,0.050618551671504974,69
0.24320662021636963,70,0.0023594291415065527,0.0016716886311769485,0.0021079780999571085,0.001631405670195818,0.05019542574882507,70
0.24118483066558838,71,0.00241279904730618,0.0015871190698817372,0.002068805042654276,0.0016547429841011763,0.04978165775537491,71
0.2391091287136078,72,0.00242158817127347,0.001499352976679802,0.002012512180954218,0.001656773965805769,0.04933986812829971,72
0.23676905035972595,73,0.0023959167301654816,0.0014258313458412886,0.0019569245632737875,0.0016490116249769926,0.04883934557437897,73
0.23404145240783691,74,0.002350087044760585,0.0013712424552068114,0.001910950057208538,0.0016397108556702733,0.048262689262628555,74
0.2308993637561798,75,0.002299864776432514,0.0013316137483343482,0.0018763969419524074,0.0016342318849638104,0.04760828986763954,75
0.22740156948566437,76,0.0022565561812371016,0.0012991861440241337,0.0018498311983421445,0.0016341307200491428,0.04688825458288193,76
0.22366826236248016,77,0.002222914481535554,0.0012671004515141249,0.0018253180896863341,0.0016371841775253415,0.046124160289764404,77
0.21984891593456268,78,0.0021935533732175827,0.0012327060103416443,0.0017977822571992874,0.0016391943208873272,0.04534243047237396,78
0.21608784794807434,79,0.0021583340130746365,0.0011975906090810895,0.0017647529020905495,0.0016357888234779239,0.04456886276602745,79
0.2124946266412735,80,0.002106534782797098,0.0011647525243461132,0.0017257567960768938,0.0016231635818257928,0.043822966516017914,80
0.20912635326385498,81,0.0020311614498496056,0.0011362143559381366,0.001681374735198915,0.0015989530365914106,0.043114811182022095,81
0.20598623156547546,82,0.001932427054271102,0.0011133969528600574,0.0016335737891495228,0.0015639520715922117,0.042445920407772064,82
0.2030370682477951,83,0.0018180483020842075,0.0010988828726112843,0.0015862430445849895,0.0015229557175189257,0.04181263968348503,83
0.20022132992744446,84,0.0016997363418340683,0.0010971237206831574,0.00154464365914464,0.0014833813766017556,0.04120923951268196,84
0.19747918844223022,85,0.0015892151277512312,0.0011139846174046397,0.0015148574020713568,0.0014533379580825567,0.04063011333346367,85
0.19475983083248138,86,0.0014968299074098468,0.001155905076302588,0.0015041646547615528,0.0014409261057153344,0.040071532130241394,86
0.192025825381279,87,0.0014314224245026708,0.001227893983013928,0.0015204505762085319,0.0014534125803038478,0.03953180089592934,87
0.18925368785858154,88,0.0013988360296934843,0.0013300967402756214,0.0015689521096646786,0.0014946424635127187,0.03900924324989319,88
0.18643321096897125,89,0.001399900997057557,0.0014555564848706126,0.0016485549276694655,0.0015625663800165057,0.03849995881319046,89
0.18356606364250183,90,0.0014303248608484864,0.0015915516996756196,0.0017509841127321124,0.0016495822928845882,0.03799770027399063,90
0.1806623637676239,91,0.001482524210587144,0.0017233066027984023,0.0018632172141224146,0.0017452461179345846,0.03749532997608185,91
0.1777356117963791,92,0.0015481276204809546,0.0018376832595095038,0.001971521647647023,0.001839434145949781,0.03698647394776344,92
0.1747976541519165,93,0.0016208678716793656,0.0019263098947703838,0.0020660513546317816,0.0019254337530583143,0.036467261612415314,93
0.17185544967651367,94,0.0016989794094115496,0.0019878256134688854,0.0021443343721330166,0.0020022974349558353,0.035937778651714325,94
0.16891108453273773,95,0.0017850124277174473,0.0020277295261621475,0.0022111558355391026,0.0020746176596730947,0.03540192171931267,95
0.16596491634845734,96,0.0018829028122127056,0.0020554771181195974,0.002274710452184081,0.002149453852325678,0.03486549109220505,96
0.16302062571048737,97,0.0019948394037783146,0.002080695703625679,0.002341989893466234,0.0022326915059238672,0.03433416783809662,97
0.16008926928043365,98,0.002119755605235696,0.002110229805111885,0.002416034694761038,0.002326679416000843,0.03381239250302315,98
0.15718847513198853,99,0.002253381535410881,0.0021467695478349924,0.002495689783245325,0.00242959544993937,0.03330278396606445,99
0.15433727204799652,100,0.002389581175521016,0.002189617371186614,0.0025775304529815912,0.0025367718189954758,0.0328061543405056,100
0.15155060589313507,101,0.0025224084965884686,0.002237064065411687,0.0026586384046822786,0.002643350977450609,0.032322414219379425,101
0.14883705973625183,102,0.0026473780162632465,0.0022881613112986088,0.002737948903813958,0.002746160142123699,0.03185134008526802,102
0.14619970321655273,103,0.0027614757418632507,0.002342603635042906,0.0028154777828603983,0.002843681024387479,0.03139258921146393,103
0.14363686740398407,104,0.0028631931636482477,0.0023998720571398735,0.0028911654371768236,0.002935366937890649,0.030945293605327606,104
