D_loss,epoch,gamma1_loss,gamma2_loss,gamma3_loss,gamma4_loss,mean_loss,step
0.5884062647819519,0,0.014779089018702507,0.0168831255286932,0.018898900598287582,0.013327917084097862,0.13045905530452728,0
0.5533882975578308,1,0.01620243676006794,0.015501162968575954,0.01673593372106552,0.015394680202007294,0.12344449758529663,1
0.5178489685058594,2,0.022219864651560783,0.019235149025917053,0.019825030118227005,0.021980730816721916,0.12022195756435394,2
0.48493868112564087,3,0.028799690306186676,0.02447555772960186,0.024786489084362984,0.028883203864097595,0.1183767095208168,3
0.45690667629241943,4,0.033679671585559845,0.028980068862438202,0.029467402026057243,0.033750250935554504,0.116556815803051,4
0.43405669927597046,5,0.036875441670417786,0.032577671110630035,0.03366786986589432,0.036599330604076385,0.11475541442632675,5
0.41593220829963684,6,0.03911638259887695,0.035708680748939514,0.03771095722913742,0.03824063763022423,0.11334177106618881,6
0.4020332396030426,7,0.04081987962126732,0.03839947655797005,0.04140947386622429,0.03926077485084534,0.11238457262516022,7
0.39171162247657776,8,0.041858818382024765,0.04014819487929344,0.044002097100019455,0.03974827378988266,0.11149381101131439,8
0.38410499691963196,9,0.041963979601860046,0.040508780628442764,0.044848762452602386,0.03960273414850235,0.11020585149526596,9
0.37836697697639465,10,0.04111771285533905,0.03951255604624748,0.04391345754265785,0.038873616605997086,0.10835685580968857,10
0.37380343675613403,11,0.03957704082131386,0.03759072348475456,0.041667453944683075,0.037793777883052826,0.10608649253845215,11
0.3698679804801941,12,0.037676747888326645,0.03527744114398956,0.03875059634447098,0.03661339730024338,0.10363723337650299,12
0.3661106824874878,13,0.03564614802598953,0.03296508640050888,0.03569678217172623,0.035439152270555496,0.1011715680360794,13
0.36213693022727966,14,0.033541832119226456,0.03080054000020027,0.03280766308307648,0.03418510779738426,0.09869441390037537,14
0.35759037733078003,15,0.03131089359521866,0.028733469545841217,0.030174430459737778,0.032660823315382004,0.09609399735927582,15
0.3521377742290497,16,0.028923504054546356,0.02666284516453743,0.027796970680356026,0.03073279745876789,0.09325077384710312,16
0.3454422950744629,17,0.026462668552994728,0.024564296007156372,0.025694042444229126,0.028435222804546356,0.09011970460414886,17
0.33715271949768066,18,0.02410830929875374,0.022515919059515,0.023923825472593307,0.025962892919778824,0.08673273026943207,18
0.32693684101104736,19,0.02204369381070137,0.020636707544326782,0.022524559870362282,0.023577004671096802,0.08314375579357147,19
0.31456270813941956,20,0.020356828346848488,0.019006866961717606,0.021443508565425873,0.02149767242372036,0.07937351614236832,20
