gamma1_loss,gamma2_loss,gamma3_loss,gamma4_loss,D_loss,mean_loss,epoch,step
0.0,0.0,0.0,0.0,0.21251732110977173,0.04250346124172211,0,0
0.0,0.0,0.0,0.0,0.18238011002540588,0.036476019769907,1,1
0.0,0.0,0.0,0.0,0.1833634227514267,0.0366726890206337,2,2
0.0,0.0,0.0,0.0,0.18335817754268646,0.03667163476347923,3,3
0.0,0.0,0.0,0.0,0.18335817754268646,0.036671631038188934,4,4
0.0,0.0,0.0,0.0,0.18335817754268646,0.036671631038188934,5,5
0.0,0.0,0.0,0.0,0.18335817754268646,0.036671631038188934,6,6
0.0,0.0,0.0,0.0,0.18335817754268646,0.036671631038188934,7,7
0.0,0.0,0.0,0.0,0.18335817754268646,0.036671631038188934,8,8
0.0,0.0,0.0,0.0,0.18335817754268646,0.036671631038188934,9,9
0.0,0.0,0.0,0.0,0.18335817754268646,0.036671631038188934,10,10
0.0,0.0,0.0,0.0,0.18335817754268646,0.036671631038188934,11,11
0.0,0.0,0.0,0.0,0.18335817754268646,0.036671631038188934,12,12
0.0,0.0,0.0,0.0,0.18335817754268646,0.036671631038188934,13,13
0.0,0.0,0.0,0.0,0.18335817754268646,0.036671631038188934,14,14
0.0,0.0,0.0,0.0,0.18335817754268646,0.036671631038188934,15,15
0.0,0.0,0.0,0.0,0.18335817754268646,0.036671631038188934,16,16
0.0,0.0,0.0,0.0,0.18335817754268646,0.036671631038188934,17,17
0.0,0.0,0.0,0.0,0.18335817754268646,0.036671631038188934,18,18
0.0,0.0,0.0,0.0,0.18335817754268646,0.036671631038188934,19,19
