gamma1_loss,gamma2_loss,gamma3_loss,gamma4_loss,D_loss,mean_loss,data_loss,epoch,step
0.07805371284484863,0.07845991849899292,0.0814693421125412,0.07295861840248108,0.04417897388339043,0.06045061722397804,0.04184127226471901,0,1
0.0010362674947828054,0.00532451830804348,0.002850535325706005,0.0036888911854475737,0.045504726469516754,0.011186518706381321,0.010316253639757633,1,3
0.030748432502150536,0.0532219335436821,0.042543862015008926,0.04382317140698433,0.04602285847067833,0.033639226108789444,0.016685448586940765,2,5
0.019732287153601646,0.03499264642596245,0.02763165533542633,0.028912095353007317,0.04572957009077072,0.02304910682141781,0.008352155797183514,3,7
0.0021598238963633776,0.0062986402772367,0.004118271172046661,0.004809294827282429,0.045282620936632156,0.013244399800896645,0.014495179988443851,4,9
0.0018718366045504808,0.0004679237608797848,0.001113035250455141,0.0007367095677182078,0.04493028298020363,0.017702285200357437,0.03156813979148865,5,11
0.008440994657576084,0.005910873878747225,0.007220427505671978,0.006249817553907633,0.044739529490470886,0.023571735247969627,0.03951629251241684,6,13
0.00813458114862442,0.005984150338917971,0.007048814091831446,0.006224157754331827,0.04469486325979233,0.02085116319358349,0.032174743711948395,7,15
0.002601122483611107,0.001400540815666318,0.00191637990064919,0.001587621751241386,0.04474311321973801,0.013634405098855495,0.019239388406276703,8,17
1.8024844393949024e-05,0.0003579607873689383,0.00019080650235991925,0.00024001032579690218,0.04482423886656761,0.00968897808343172,0.010679453611373901,9,19
0.0025430393870919943,0.004451388493180275,0.0037421572487801313,0.003856044728308916,0.04488423839211464,0.010472324676811695,0.007967760786414146,10,21
0.005281789693981409,0.007805259898304939,0.006985079031437635,0.006989459507167339,0.04488546773791313,0.011959098279476166,0.007681748364120722,11,23
0.0044212001375854015,0.006363495718687773,0.005826737731695175,0.005758420564234257,0.04482223093509674,0.011650251224637032,0.0085030822083354,12,25
0.001621991628780961,0.0025095827877521515,0.0023323320783674717,0.0022705025039613247,0.04471899941563606,0.010986789129674435,0.011507938615977764,13,27
7.142687536543235e-05,0.00021548640506807715,0.0002121654833899811,0.0001866750535555184,0.04461009055376053,0.0116390036419034,0.016179511323571205,14,29
0.0002466945443302393,0.00015604593500029296,0.00012892327504232526,0.00014359083434101194,0.04452277347445488,0.01285860501229763,0.019580043852329254,15,31
0.000542706751730293,0.0004799362795893103,0.0003874280082527548,0.00043204581015743315,0.04447046294808388,0.012939651496708393,0.01941141113638878,16,33
0.00019787438213825226,0.00018500120495446026,0.00011383239325368777,0.0001496960176154971,0.0444517582654953,0.01166614145040512,0.01632399670779705,17,35
3.677835047710687e-05,4.605641515809111e-05,9.253436292055994e-05,5.847542706760578e-05,0.04445355013012886,0.010324213653802872,0.012764865532517433,18,37
