gamma1_loss,gamma2_loss,gamma3_loss,gamma4_loss,D_loss,mean_loss,epoch,step
0.07340361177921295,0.17101037502288818,0.04063337296247482,0.030700460076332092,2.269624948501587,0.5170745253562927,0,0
0.07469925284385681,0.07446176558732986,0.07404211163520813,0.06933599710464478,1.2171814441680908,0.3019441068172455,1,1
0.06498103588819504,0.016964521259069443,0.09883672744035721,0.10381758213043213,0.5878763794898987,0.17449524998664856,2,2
0.041359808295965195,0.0019015364814549685,0.10372869670391083,0.12037543952465057,0.2207871675491333,0.09763053059577942,3,3
0.015955056995153427,0.06134839728474617,0.09284239262342453,0.12044475972652435,0.03582959249615669,0.06528404355049133,4,4
0.0006372157949954271,0.21605534851551056,0.06505898386240005,0.09732386469841003,0.0011904352577403188,0.07605316489934921,5,5
0.005512405186891556,0.3873566687107086,0.03196030110120773,0.0584634467959404,0.010992196388542652,0.09885700792074203,6,6
0.01534197200089693,0.4428413510322571,0.015782946720719337,0.035039231181144714,0.003261437639594078,0.10245338827371597,7,7
0.014883717522025108,0.3879486620426178,0.012320113368332386,0.028019437566399574,0.000831900630146265,0.08880076557397842,8,8
0.008448643609881401,0.294778436422348,0.014640447683632374,0.029260018840432167,0.012863489799201488,0.07199820131063461,9,9
0.0024664942175149918,0.20681539177894592,0.02088124491274357,0.03547947108745575,0.03178443759679794,0.059485405683517456,10,10
1.9429955500527285e-05,0.1383601874113083,0.03034583106637001,0.04513216391205788,0.047936297953128815,0.05235878378152847,11,11
0.0014910666504874825,0.08983761072158813,0.04203033447265625,0.056745000183582306,0.05686675384640694,0.0493941530585289,12,12
0.0057953642681241035,0.05743331462144852,0.05434465408325195,0.06845904886722565,0.05891494080424309,0.048989467322826385,13,13
0.011192461475729942,0.03693029284477234,0.06525599956512451,0.0780976191163063,0.05658584088087082,0.04961244389414787,14,14
0.01586499623954296,0.02475830167531967,0.072716124355793,0.083592988550663,0.05253018066287041,0.04989251866936684,15,15
0.018435603007674217,0.018178043887019157,0.0752599686384201,0.0835990384221077,0.04855781048536301,0.048806093633174896,16,16
0.01833713799715042,0.015282245352864265,0.07248386740684509,0.07794852554798126,0.0453953854739666,0.04588943347334862,17,17
0.015871306881308556,0.01488771103322506,0.06513290852308273,0.06767711788415909,0.04280472546815872,0.041274748742580414,18,18
0.011951976455748081,0.016292231157422066,0.0547746904194355,0.05462399870157242,0.03982159495353699,0.035492897033691406,19,19
0.007695001550018787,0.01895466446876526,0.043264683336019516,0.04084707051515579,0.035090453922748566,0.02917037531733513,20,20
0.004041642416268587,0.022217998281121254,0.03224458917975426,0.02810404822230339,0.027447786182165146,0.02281121350824833,21,21
0.0015310159651562572,0.02518903650343418,0.022810475900769234,0.017533952370285988,0.016914693638682365,0.01679583452641964,22,22
0.00025997168268077075,0.026856299489736557,0.015380618162453175,0.009571840055286884,0.0059792641550302505,0.011609598994255066,23,23
2.220870737801306e-05,0.0264914371073246,0.009743533097207546,0.004096599295735359,7.553059549536556e-05,0.00808586087077856,24,24
0.0005950944032520056,0.02429649420082569,0.005278495606034994,0.0008345997193828225,0.004107071552425623,0.007022351026535034,25,25
0.0020770106930285692,0.021737873554229736,0.0016812017420306802,0.0001225159940076992,0.012868046760559082,0.007697329856455326,26,26
0.0046156528405845165,0.01980280876159668,1.3178342669561971e-05,0.0029913545586168766,0.013788342475891113,0.008242267183959484,27,27
0.007119675166904926,0.01710992120206356,0.000906978384591639,0.008577273227274418,0.007511717267334461,0.008245112374424934,28,28
0.0073429299518466,0.011710235849022865,0.0022738531697541475,0.012845483608543873,0.002801370108500123,0.007394774816930294,29,29
0.004692092537879944,0.004678526893258095,0.0019118565833196044,0.012677197344601154,0.0015869296621531248,0.005109320394694805,30,30
0.0014215684495866299,0.000260454835370183,0.00056612299522385,0.009209021925926208,0.002070969669148326,0.0027056275866925716,31,31
1.5700594303780235e-05,0.0012600186746567488,9.107741227865063e-09,0.005505082197487354,0.002172880806028843,0.001790738315321505,32,32
