gamma1_loss,gamma2_loss,gamma3_loss,gamma4_loss,D_loss,mean_loss,epoch,step
0.0018218258628621697,0.002994263544678688,0.001677726162597537,0.003009101841598749,1.8749210834503174,0.3768848180770874,0,0
0.0038134793285280466,0.0021000599954277277,0.003977475222200155,0.0020280275493860245,1.633710265159607,0.32912588119506836,1,1
0.023436492308974266,0.018719466403126717,0.02357954904437065,0.018845241516828537,1.4164117574691772,0.300198495388031,2,2
0.057692285627126694,0.04991881176829338,0.05753413215279579,0.05048370733857155,1.2282423973083496,0.2887742817401886,3,3
0.09922279417514801,0.08864137530326843,0.09863654524087906,0.0897488072514534,1.0782787799835205,0.2909056544303894,4,4
0.13551592826843262,0.12293180078268051,0.1346333622932434,0.12444261461496353,0.9767695069313049,0.298858642578125,5,5
0.1558852344751358,0.14246399700641632,0.15499097108840942,0.14407934248447418,0.9249941110610962,0.30448275804519653,6,6
0.15847493708133698,0.14526230096817017,0.1578092873096466,0.14671264588832855,0.9137126803398132,0.30439436435699463,7,7
0.14755965769290924,0.13526569306850433,0.14724811911582947,0.13639114797115326,0.9316109418869019,0.2996150851249695,8,8
0.1288144737482071,0.11782727390527725,0.12887966632843018,0.1185736432671547,0.9693858623504639,0.29269617795944214,9,9
0.1071179211139679,0.09757982194423676,0.10751469433307648,0.09796743839979172,1.0196081399917603,0.28595760464668274,10,10
0.08598212897777557,0.07786394655704498,0.08663310110569,0.07795385271310806,1.0758427381515503,0.2808551490306854,11,11
0.06756925582885742,0.06073051318526268,0.06839309632778168,0.06059657037258148,1.1321595907211304,0.27788978815078735,12,12
0.0529051348567009,0.04714098945260048,0.05383541062474251,0.046850550919771194,1.183128833770752,0.2767722010612488,13,13
0.0421782061457634,0.03725501894950867,0.04317259043455124,0.03685833513736725,1.2241487503051758,0.27672258019447327,14,14
0.035071853548288345,0.03075297363102436,0.0361136831343174,0.030280007049441338,1.2518718242645264,0.27681806683540344,15,15
0.03107025846838951,0.027133315801620483,0.032164983451366425,0.02659555897116661,1.2645034790039062,0.2762935161590576,16,16
0.02967764623463154,0.025924835354089737,0.030846981331706047,0.025319784879684448,1.2618324756622314,0.27472034096717834,17,17
0.030520211905241013,0.026783430948853493,0.03179582953453064,0.02609972655773163,1.2450114488601685,0.2720421254634857,18,18
0.033341776579618454,0.029484907165169716,0.03475980833172798,0.028706859797239304,1.2161996364593506,0.26849859952926636,19,19
0.037930477410554886,0.03385070338845253,0.03952716290950775,0.03296169638633728,1.1781944036483765,0.2644928991794586,20,20
0.044018976390361786,0.039648447185754776,0.045827221125364304,0.038633257150650024,1.1341180801391602,0.26044920086860657,21,21
0.051194656640291214,0.046502795070409775,0.053241077810525894,0.04534905403852463,1.0871639251708984,0.2566903233528137,22,22
0.058850452303886414,0.05384603142738342,0.06115244701504707,0.05254535377025604,1.0403845310211182,0.2533557713031769,23,23
0.0662018284201622,0.06093313544988632,0.06876468658447266,0.059482112526893616,0.9964918494224548,0.2503747344017029,24,24
0.07238220423460007,0.06693316996097565,0.07519688457250595,0.06533423811197281,0.9576627016067505,0.24750186502933502,25,25
0.07660128176212311,0.07108235359191895,0.07964378595352173,0.069344162940979,0.9253734350204468,0.24440898001194,26,26
0.07831693440675735,0.0728512704372406,0.08155013620853424,0.07098819315433502,0.9003004431724548,0.24080140888690948,27,27
0.07735570520162582,0.07206305861473083,0.08073356002569199,0.07009375095367432,0.8823145031929016,0.23651213943958282,28,28
0.07393766939640045,0.06891977787017822,0.07741112262010574,0.06686484068632126,0.8705599904060364,0.23153866827487946,29,29
0.06860460340976715,0.06393466889858246,0.07212767004966736,0.061813920736312866,0.8635924458503723,0.2260146588087082,30,30
0.062086742371320724,0.05780463665723801,0.06562180072069168,0.05563428997993469,0.8595403432846069,0.2201375514268875,31,31
0.05515432730317116,0.051267027854919434,0.05867597088217735,0.049057330936193466,0.8562784194946289,0.2140866070985794,32,32
0.048491787165403366,0.04497789219021797,0.05198872461915016,0.04273160547018051,0.8516169786453247,0.20796142518520355,33,33
0.04261515662074089,0.03943208232522011,0.04609055444598198,0.037144340574741364,0.8435134291648865,0.20175909996032715,34,34
0.03783898055553436,0.03493128716945648,0.041309017688035965,0.032591160386800766,0.830296516418457,0.1953933984041214,35,35
0.03428548201918602,0.031593602150678635,0.03777641803026199,0.02918723225593567,0.8108831644058228,0.1887451857328415,36,36
0.03192155435681343,0.02939017117023468,0.0354653000831604,0.026904866099357605,0.7849466800689697,0.18172571063041687,37,37
0.030604489147663116,0.028190061450004578,0.03423299640417099,0.02561797946691513,0.7529981136322021,0.1743287295103073,38,38
0.030119720846414566,0.027796555310487747,0.033858831971883774,0.02513662911951542,0.7163586020469666,0.1666540652513504,39,39
0.03020094521343708,0.027964478358626366,0.03406454622745514,0.02522188425064087,0.6770139932632446,0.1588931679725647,40,40
0.0305347740650177,0.028400573879480362,0.03452049568295479,0.025584356859326363,0.6373641490936279,0.15128086507320404,41,41
0.030764389783143997,0.02876143530011177,0.03485170379281044,0.02588222362101078,0.599898099899292,0.1440315693616867,42,42
0.03051319532096386,0.02867194451391697,0.03466343507170677,0.025742413476109505,0.5668516755104065,0.13728854060173035,43,43
0.02944471873342991,0.027784181758761406,0.03360077366232872,0.0248243510723114,0.5399287939071655,0.13111655414104462,44,44
0.02735378034412861,0.025875503197312355,0.031436968594789505,0.022922268137335777,0.5201566815376282,0.1255490481853485,45,45
0.02425001747906208,0.022946154698729515,0.02815597504377365,0.020063010975718498,0.5078719258308411,0.12065742164850235,46,46
0.020379239693284035,0.019253453239798546,0.023981250822544098,0.016533521935343742,0.5027481913566589,0.11657913774251938,47,47
0.01616452820599079,0.015250167809426785,0.0193340927362442,0.01280380692332983,0.5037736296653748,0.11346524953842163,48,48
0.01210637018084526,0.01145914290100336,0.014749455265700817,0.009380709379911423,0.5092184543609619,0.11138282716274261,49,49
0.008667021058499813,0.008327203802764416,0.010758346877992153,0.006653754971921444,0.5167636871337891,0.11023399233818054,50,50
0.006125545594841242,0.006079749204218388,0.007721496745944023,0.00477265939116478,0.5239206552505493,0.1097240224480629,51,51
0.004476906266063452,0.004658164456486702,0.005702008027583361,0.0036209458485245705,0.5286862254142761,0.10942884534597397,52,52
0.0035059729125350714,0.003831959329545498,0.004521605093032122,0.002938834484666586,0.5300557017326355,0.10897080600261688,53,53
0.0029864199459552765,0.0033938579726964235,0.003955094143748283,0.0025059222243726254,0.527923583984375,0.10815297812223434,54,54
