gamma1_loss,gamma2_loss,gamma3_loss,gamma4_loss,D_loss,mean_loss,epoch,step
0.0,0.0,0.0,0.0,0.21251732110977173,0.04250346124172211,0,0
0.0,0.0,0.0,0.0,0.18238011002540588,0.036476019769907,1,1
0.0,0.0,0.0,0.0,0.19840309023857117,0.039680615067481995,2,2
0.0,0.0,0.0,0.0,0.1812589466571808,0.03625179082155228,3,3
0.0,0.0,0.0,0.0,0.164892315864563,0.03297846391797066,4,4
0.0,0.0,0.0,0.0,0.1646876186132431,0.03293752297759056,5,5
0.0,0.0,0.0,0.0,0.16791807115077972,0.033583614975214005,6,6
0.0,0.0,0.0,0.0,0.16185757517814636,0.03237151354551315,7,7
0.0,0.0,0.0,0.0,0.1505359411239624,0.03010718896985054,8,8
0.0,0.0,0.0,0.0,0.14282792806625366,0.02856558747589588,9,9
0.0,0.0,0.0,0.0,0.14098908007144928,0.028197815641760826,10,10
0.0,0.0,0.0,0.0,0.13983657956123352,0.027967315167188644,11,11
0.0,0.0,0.0,0.0,0.13453741371631622,0.026907483115792274,12,12
0.0,0.0,0.0,0.0,0.12606137990951538,0.025212276726961136,13,13
0.0,0.0,0.0,0.0,0.11856905370950699,0.023713810369372368,14,14
0.0,0.0,0.0,0.0,0.1141899973154068,0.02283799834549427,15,15
0.0,0.0,0.0,0.0,0.11094295978546143,0.022188590839505196,16,16
0.0,0.0,0.0,0.0,0.10564420372247696,0.021128840744495392,17,17
0.0,0.0,0.0,0.0,0.09791655093431473,0.019583310931921005,18,18
0.0,0.0,0.0,0.0,0.09014233201742172,0.018028466030955315,19,19
